group,method,task_accuracy,action_accuracy,multiplication_error,training_examples
S3,differentiable_finite_state_automaton,1.0,1.0,0.0,1600
S3,exact_structured_retransport,1.0,1.0,0.0,1600
S3,generic_moe,0.15927832159480743,0.15927832159480743,0.8407216784051925,1600
S3,group_equivariant_sequence_network,1.0,1.0,0.0,1600
S3,learned_cayley_table_model,1.0,1.0,0.0,1600
S3,lookup_table_diagnostic,0.15722802977788725,0.15722802977788725,0.8427719702221127,1600
S3,sequence_mlp,0.16081123608205064,0.16081123608205064,0.8391887639179493,1600
S3,sequence_transformer,0.15927832159480743,0.15927832159480743,0.8407216784051925,1600
S3,symbolic_word_reduction_oracle,1.0,1.0,0.0,1600
S3,transformer_group_law_augmentation,1.0,1.0,0.0,1600
D4,differentiable_finite_state_automaton,1.0,1.0,0.0,1600
D4,exact_structured_retransport,1.0,1.0,0.0,1600
D4,generic_moe,0.10902173362907958,0.10902173362907958,0.8909782663709205,1600
D4,group_equivariant_sequence_network,1.0,1.0,0.0,1600
D4,learned_cayley_table_model,1.0,1.0,0.0,1600
D4,lookup_table_diagnostic,0.10683020058304726,0.10683020058304726,0.8931697994169527,1600
D4,sequence_mlp,0.11700566345990003,0.11700566345990003,0.8829943365401001,1600
D4,sequence_transformer,0.10902173362907958,0.10902173362907958,0.8909782663709205,1600
D4,symbolic_word_reduction_oracle,1.0,1.0,0.0,1600
D4,transformer_group_law_augmentation,1.0,1.0,0.0,1600
Q8,differentiable_finite_state_automaton,1.0,1.0,0.0,1600
Q8,exact_structured_retransport,1.0,1.0,0.0,1600
Q8,generic_moe,0.10391368860671706,0.10391368860671706,0.896086311393283,1600
Q8,group_equivariant_sequence_network,1.0,1.0,0.0,1600
Q8,learned_cayley_table_model,1.0,1.0,0.0,1600
Q8,lookup_table_diagnostic,0.10949398581983835,0.10949398581983835,0.8905060141801617,1600
Q8,sequence_mlp,0.1094591523859599,0.1094591523859599,0.8905408476140401,1600
Q8,sequence_transformer,0.10391368860671706,0.10391368860671706,0.896086311393283,1600
Q8,symbolic_word_reduction_oracle,1.0,1.0,0.0,1600
Q8,transformer_group_law_augmentation,1.0,1.0,0.0,1600
A4,differentiable_finite_state_automaton,1.0,1.0,0.0,1600
A4,exact_structured_retransport,1.0,1.0,0.0,1600
A4,generic_moe,0.10148125691593556,0.10148125691593556,0.8985187430840644,1600
A4,group_equivariant_sequence_network,1.0,1.0,0.0,1600
A4,learned_cayley_table_model,1.0,1.0,0.0,1600
A4,lookup_table_diagnostic,0.09153060380150231,0.09153060380150231,0.9084693961984976,1600
A4,sequence_mlp,0.09749886715121875,0.09749886715121875,0.9025011328487812,1600
A4,sequence_transformer,0.10148125691593556,0.10148125691593556,0.8985187430840644,1600
A4,symbolic_word_reduction_oracle,1.0,1.0,0.0,1600
A4,transformer_group_law_augmentation,1.0,1.0,0.0,1600
