family,role,method,accuracy,batch_size,trainable_parameters,stored_parameters,flops,latency_ms,peak_memory_mb,systems_measurement,calibration_examples,router_examples,selector_validation_examples,candidate_count,branch_count,execution_commit,source_sha256
independent_controlled_context_confirmation,structured_method,twistedmerge_hodge_lr,0.5928666666666667,1,43,43,128,0.005708076059818268,0.00030517578125,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,structured_method,twistedmerge_hodge_lr,0.5928666666666667,8,43,43,1024,0.006084097549319267,0.000732421875,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,structured_method,twistedmerge_hodge_lr,0.5928666666666667,32,43,43,4096,0.010541873052716255,0.002197265625,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,structured_method,twistedmerge_hodge_lr,0.5928666666666667,128,43,43,16384,0.025958986952900887,0.008056640625,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,strongest_generic_moe,generic_mixture_of_experts,0.4343583333333333,1,57,57,896,0.006166053935885429,0.00177001953125,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,7,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,strongest_generic_moe,generic_mixture_of_experts,0.4343583333333333,8,57,57,7168,0.009916024282574654,0.002197265625,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,7,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,strongest_generic_moe,generic_mixture_of_experts,0.4343583333333333,32,57,57,28672,0.024582957848906517,0.003662109375,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,7,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,strongest_generic_moe,generic_mixture_of_experts,0.4343583333333333,128,57,57,114688,0.08429191075265408,0.009521484375,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,7,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,group_equivariant_baseline,learned_unconstrained_matrix_context_action,0.2549916666666666,1,371,371,752,0.004832865670323372,0.001644134521484375,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,group_equivariant_baseline,learned_unconstrained_matrix_context_action,0.2549916666666666,8,371,371,6016,0.01174979843199253,0.00311279296875,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,group_equivariant_baseline,learned_unconstrained_matrix_context_action,0.2549916666666666,32,371,371,24064,0.032250070944428444,0.008148193359375,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,group_equivariant_baseline,learned_unconstrained_matrix_context_action,0.2549916666666666,128,371,371,96256,0.11816690675914288,0.028289794921875,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,generic_low_rank_context_adapter,generic_low_rank_context_adapter,0.16617499999999996,1,555,555,1120,0.005207955837249756,0.00243377685546875,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,generic_low_rank_context_adapter,generic_low_rank_context_adapter,0.16617499999999996,8,555,555,8960,0.015042023733258247,0.0045166015625,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,generic_low_rank_context_adapter,generic_low_rank_context_adapter,0.16617499999999996,32,555,555,35840,0.04791701212525368,0.01165771484375,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,generic_low_rank_context_adapter,generic_low_rank_context_adapter,0.16617499999999996,128,555,555,143360,0.1727920025587082,0.04022216796875,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,learned_cayley_table_upper_bound,group_structured_without_hodge,0.5928666666666667,1,1,0,128,0.004624947905540466,0.00030517578125,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,learned_cayley_table_upper_bound,group_structured_without_hodge,0.5928666666666667,8,1,0,1024,0.00600004568696022,0.000732421875,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,learned_cayley_table_upper_bound,group_structured_without_hodge,0.5928666666666667,32,1,0,4096,0.009917188435792923,0.002197265625,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,learned_cayley_table_upper_bound,group_structured_without_hodge,0.5928666666666667,128,1,0,16384,0.025541987270116806,0.008056640625,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,ensemble,hodge_lr_generic_retransport,0.29990833333333333,1,93,93,192,0.004708068445324898,0.0004425048828125,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,ensemble,hodge_lr_generic_retransport,0.29990833333333333,8,93,93,1536,0.006458954885601997,0.0009765625,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,ensemble,hodge_lr_generic_retransport,0.29990833333333333,32,93,93,6144,0.01258309930562973,0.0028076171875,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,ensemble,hodge_lr_generic_retransport,0.29990833333333333,128,93,93,24576,0.03504217602312565,0.0101318359375,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,parameter_matched_widened_model,learned_unconstrained_matrix_context_action,0.2549916666666666,1,371,371,752,0.005166977643966675,0.001644134521484375,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,parameter_matched_widened_model,learned_unconstrained_matrix_context_action,0.2549916666666666,8,371,371,6016,0.011584023013710976,0.00311279296875,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
independent_controlled_context_confirmation,parameter_matched_widened_model,learned_unconstrained_matrix_context_action,0.2549916666666666,32,371,371,24064,0.03237510100007057,0.008148193359375,shape_matched_numpy_linear_proxy_not_end_to_end_method,0,40,0,1,1,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,9929cbba468d5e21e896eba1c381623a6fb181708c93aa55d9d35cf20b1174e5
