draw,null_family,null_residual,setting_id,dataset,seed
0,matched_edge_topology_shuffle,0.16395836634497066,modelnet10_s0,ModelNet10,0
1,matched_edge_topology_shuffle,0.14843619777979522,modelnet10_s0,ModelNet10,0
2,matched_edge_topology_shuffle,0.15390405007065416,modelnet10_s0,ModelNet10,0
3,matched_edge_topology_shuffle,0.16752069115088866,modelnet10_s0,ModelNet10,0
4,matched_edge_topology_shuffle,0.18283845607734048,modelnet10_s0,ModelNet10,0
5,matched_edge_topology_shuffle,0.17865412563577907,modelnet10_s0,ModelNet10,0
6,matched_edge_topology_shuffle,0.1522075955804895,modelnet10_s0,ModelNet10,0
7,matched_edge_topology_shuffle,0.15360445447512577,modelnet10_s0,ModelNet10,0
8,matched_edge_topology_shuffle,0.1577865752726669,modelnet10_s0,ModelNet10,0
9,matched_edge_topology_shuffle,0.1506532153925557,modelnet10_s0,ModelNet10,0
10,matched_edge_topology_shuffle,0.15065321539255558,modelnet10_s0,ModelNet10,0
11,matched_edge_topology_shuffle,0.1876575829240412,modelnet10_s0,ModelNet10,0
12,matched_edge_topology_shuffle,0.16538364563055422,modelnet10_s0,ModelNet10,0
13,matched_edge_topology_shuffle,0.15765037271231314,modelnet10_s0,ModelNet10,0
14,matched_edge_topology_shuffle,0.1502117197913648,modelnet10_s0,ModelNet10,0
15,matched_edge_topology_shuffle,0.16160621108707884,modelnet10_s0,ModelNet10,0
16,matched_edge_topology_shuffle,0.180583079828381,modelnet10_s0,ModelNet10,0
17,matched_edge_topology_shuffle,0.15702325965994643,modelnet10_s0,ModelNet10,0
18,matched_edge_topology_shuffle,0.15946171274607787,modelnet10_s0,ModelNet10,0
19,matched_edge_topology_shuffle,0.16339865859868444,modelnet10_s0,ModelNet10,0
20,matched_edge_topology_shuffle,0.16743831830280298,modelnet10_s0,ModelNet10,0
21,matched_edge_topology_shuffle,0.1477774006003263,modelnet10_s0,ModelNet10,0
22,matched_edge_topology_shuffle,0.16688895632529582,modelnet10_s0,ModelNet10,0
23,matched_edge_topology_shuffle,0.15534620947624006,modelnet10_s0,ModelNet10,0
24,matched_edge_topology_shuffle,0.1527415660299332,modelnet10_s0,ModelNet10,0
25,matched_edge_topology_shuffle,0.15476215351588804,modelnet10_s0,ModelNet10,0
26,matched_edge_topology_shuffle,0.16461663834853743,modelnet10_s0,ModelNet10,0
27,matched_edge_topology_shuffle,0.16425322975202697,modelnet10_s0,ModelNet10,0
28,matched_edge_topology_shuffle,0.1765641115443795,modelnet10_s0,ModelNet10,0
29,matched_edge_topology_shuffle,0.17706148138504083,modelnet10_s0,ModelNet10,0
30,matched_edge_topology_shuffle,0.1651037475177392,modelnet10_s0,ModelNet10,0
31,matched_edge_topology_shuffle,0.16288805055019123,modelnet10_s0,ModelNet10,0
32,matched_edge_topology_shuffle,0.1821607598682046,modelnet10_s0,ModelNet10,0
33,matched_edge_topology_shuffle,0.16021001154250733,modelnet10_s0,ModelNet10,0
34,matched_edge_topology_shuffle,0.15334635804211286,modelnet10_s0,ModelNet10,0
35,matched_edge_topology_shuffle,0.16508305184492927,modelnet10_s0,ModelNet10,0
36,matched_edge_topology_shuffle,0.16553451243952708,modelnet10_s0,ModelNet10,0
37,matched_edge_topology_shuffle,0.1673431962145417,modelnet10_s0,ModelNet10,0
38,matched_edge_topology_shuffle,0.16007272565050315,modelnet10_s0,ModelNet10,0
39,matched_edge_topology_shuffle,0.2070406817982815,modelnet10_s0,ModelNet10,0
40,matched_edge_topology_shuffle,0.17434346203531714,modelnet10_s0,ModelNet10,0
41,matched_edge_topology_shuffle,0.14825418579122346,modelnet10_s0,ModelNet10,0
42,matched_edge_topology_shuffle,0.1767995250936622,modelnet10_s0,ModelNet10,0
43,matched_edge_topology_shuffle,0.16355083030642412,modelnet10_s0,ModelNet10,0
44,matched_edge_topology_shuffle,0.16531190657394582,modelnet10_s0,ModelNet10,0
45,matched_edge_topology_shuffle,0.1742318932090526,modelnet10_s0,ModelNet10,0
46,matched_edge_topology_shuffle,0.1619631268599919,modelnet10_s0,ModelNet10,0
47,matched_edge_topology_shuffle,0.14910448614249416,modelnet10_s0,ModelNet10,0
48,matched_edge_topology_shuffle,0.17982776324145305,modelnet10_s0,ModelNet10,0
49,matched_edge_topology_shuffle,0.1555121707551862,modelnet10_s0,ModelNet10,0
50,matched_edge_topology_shuffle,0.15260487358615982,modelnet10_s0,ModelNet10,0
51,matched_edge_topology_shuffle,0.1751714546836099,modelnet10_s0,ModelNet10,0
52,matched_edge_topology_shuffle,0.1695534744261759,modelnet10_s0,ModelNet10,0
53,matched_edge_topology_shuffle,0.16256319090394564,modelnet10_s0,ModelNet10,0
54,matched_edge_topology_shuffle,0.16359210702393798,modelnet10_s0,ModelNet10,0
55,matched_edge_topology_shuffle,0.14948109520384145,modelnet10_s0,ModelNet10,0
56,matched_edge_topology_shuffle,0.14826477371996447,modelnet10_s0,ModelNet10,0
57,matched_edge_topology_shuffle,0.16433840084638035,modelnet10_s0,ModelNet10,0
58,matched_edge_topology_shuffle,0.1664063156335279,modelnet10_s0,ModelNet10,0
59,matched_edge_topology_shuffle,0.1767360541578298,modelnet10_s0,ModelNet10,0
60,matched_edge_topology_shuffle,0.15059065422219473,modelnet10_s0,ModelNet10,0
61,matched_edge_topology_shuffle,0.14655043524243022,modelnet10_s0,ModelNet10,0
62,matched_edge_topology_shuffle,0.16689946846338138,modelnet10_s0,ModelNet10,0
63,matched_edge_topology_shuffle,0.16057663115997806,modelnet10_s0,ModelNet10,0
64,matched_edge_topology_shuffle,0.16250443654816574,modelnet10_s0,ModelNet10,0
65,matched_edge_topology_shuffle,0.15055499899945976,modelnet10_s0,ModelNet10,0
66,matched_edge_topology_shuffle,0.16092367326423632,modelnet10_s0,ModelNet10,0
67,matched_edge_topology_shuffle,0.15408670416581652,modelnet10_s0,ModelNet10,0
68,matched_edge_topology_shuffle,0.15024294687663048,modelnet10_s0,ModelNet10,0
69,matched_edge_topology_shuffle,0.15139686756606457,modelnet10_s0,ModelNet10,0
70,matched_edge_topology_shuffle,0.18192109666417808,modelnet10_s0,ModelNet10,0
71,matched_edge_topology_shuffle,0.16582209189606134,modelnet10_s0,ModelNet10,0
72,matched_edge_topology_shuffle,0.16877855099907052,modelnet10_s0,ModelNet10,0
73,matched_edge_topology_shuffle,0.1591990548874106,modelnet10_s0,ModelNet10,0
74,matched_edge_topology_shuffle,0.15494236440010634,modelnet10_s0,ModelNet10,0
75,matched_edge_topology_shuffle,0.18271142586698239,modelnet10_s0,ModelNet10,0
76,matched_edge_topology_shuffle,0.18883432100112704,modelnet10_s0,ModelNet10,0
77,matched_edge_topology_shuffle,0.15921304478383694,modelnet10_s0,ModelNet10,0
78,matched_edge_topology_shuffle,0.15419106905109997,modelnet10_s0,ModelNet10,0
79,matched_edge_topology_shuffle,0.17963572597291858,modelnet10_s0,ModelNet10,0
80,matched_edge_topology_shuffle,0.18165573985776373,modelnet10_s0,ModelNet10,0
81,matched_edge_topology_shuffle,0.1598698533557167,modelnet10_s0,ModelNet10,0
82,matched_edge_topology_shuffle,0.1467215070019619,modelnet10_s0,ModelNet10,0
83,matched_edge_topology_shuffle,0.1522075955804895,modelnet10_s0,ModelNet10,0
84,matched_edge_topology_shuffle,0.16934439427052048,modelnet10_s0,ModelNet10,0
85,matched_edge_topology_shuffle,0.17020147381784392,modelnet10_s0,ModelNet10,0
86,matched_edge_topology_shuffle,0.15963863863077846,modelnet10_s0,ModelNet10,0
87,matched_edge_topology_shuffle,0.14754107918754195,modelnet10_s0,ModelNet10,0
88,matched_edge_topology_shuffle,0.20505420584471656,modelnet10_s0,ModelNet10,0
89,matched_edge_topology_shuffle,0.18320800764768272,modelnet10_s0,ModelNet10,0
90,matched_edge_topology_shuffle,0.1578483125737728,modelnet10_s0,ModelNet10,0
91,matched_edge_topology_shuffle,0.1539296160532821,modelnet10_s0,ModelNet10,0
92,matched_edge_topology_shuffle,0.15901165740419013,modelnet10_s0,ModelNet10,0
93,matched_edge_topology_shuffle,0.17501526126905895,modelnet10_s0,ModelNet10,0
94,matched_edge_topology_shuffle,0.16638128394578444,modelnet10_s0,ModelNet10,0
95,matched_edge_topology_shuffle,0.15159518273579076,modelnet10_s0,ModelNet10,0
96,matched_edge_topology_shuffle,0.1746386578679774,modelnet10_s0,ModelNet10,0
97,matched_edge_topology_shuffle,0.18407584429480942,modelnet10_s0,ModelNet10,0
98,matched_edge_topology_shuffle,0.1644009418931703,modelnet10_s0,ModelNet10,0
99,matched_edge_topology_shuffle,0.18665968244303424,modelnet10_s0,ModelNet10,0
100,matched_edge_topology_shuffle,0.1455616270076807,modelnet10_s0,ModelNet10,0
101,matched_edge_topology_shuffle,0.17231837727731894,modelnet10_s0,ModelNet10,0
102,matched_edge_topology_shuffle,0.1766529215065094,modelnet10_s0,ModelNet10,0
103,matched_edge_topology_shuffle,0.19878844052819955,modelnet10_s0,ModelNet10,0
104,matched_edge_topology_shuffle,0.16887052682844717,modelnet10_s0,ModelNet10,0
105,matched_edge_topology_shuffle,0.16792104781127967,modelnet10_s0,ModelNet10,0
106,matched_edge_topology_shuffle,0.16769362373374638,modelnet10_s0,ModelNet10,0
107,matched_edge_topology_shuffle,0.1598802415454261,modelnet10_s0,ModelNet10,0
108,matched_edge_topology_shuffle,0.1540945028781169,modelnet10_s0,ModelNet10,0
109,matched_edge_topology_shuffle,0.14948109520384129,modelnet10_s0,ModelNet10,0
110,matched_edge_topology_shuffle,0.1506532153925555,modelnet10_s0,ModelNet10,0
111,matched_edge_topology_shuffle,0.16752915389706957,modelnet10_s0,ModelNet10,0
112,matched_edge_topology_shuffle,0.11055643452567296,modelnet10_s0,ModelNet10,0
113,matched_edge_topology_shuffle,0.20515414496529935,modelnet10_s0,ModelNet10,0
114,matched_edge_topology_shuffle,0.1539296160532821,modelnet10_s0,ModelNet10,0
115,matched_edge_topology_shuffle,0.17501526126905895,modelnet10_s0,ModelNet10,0
116,matched_edge_topology_shuffle,0.15334635804211302,modelnet10_s0,ModelNet10,0
117,matched_edge_topology_shuffle,0.15055499899945965,modelnet10_s0,ModelNet10,0
118,matched_edge_topology_shuffle,0.15161206848210088,modelnet10_s0,ModelNet10,0
119,matched_edge_topology_shuffle,0.15548336280094288,modelnet10_s0,ModelNet10,0
120,matched_edge_topology_shuffle,0.17877385421043573,modelnet10_s0,ModelNet10,0
121,matched_edge_topology_shuffle,0.14757557080441727,modelnet10_s0,ModelNet10,0
122,matched_edge_topology_shuffle,0.15700087141354988,modelnet10_s0,ModelNet10,0
123,matched_edge_topology_shuffle,0.14915140561401055,modelnet10_s0,ModelNet10,0
124,matched_edge_topology_shuffle,0.15289858762888328,modelnet10_s0,ModelNet10,0
125,matched_edge_topology_shuffle,0.17735440521724236,modelnet10_s0,ModelNet10,0
126,matched_edge_topology_shuffle,0.1569915019413257,modelnet10_s0,ModelNet10,0
127,matched_edge_topology_shuffle,0.1619631268599919,modelnet10_s0,ModelNet10,0
128,matched_edge_topology_shuffle,0.16123164728129588,modelnet10_s0,ModelNet10,0
129,matched_edge_topology_shuffle,0.16955347442617605,modelnet10_s0,ModelNet10,0
130,matched_edge_topology_shuffle,0.11055643452567304,modelnet10_s0,ModelNet10,0
131,matched_edge_topology_shuffle,0.16257088841712725,modelnet10_s0,ModelNet10,0
132,matched_edge_topology_shuffle,0.16567238768621112,modelnet10_s0,ModelNet10,0
133,matched_edge_topology_shuffle,0.1686431874052705,modelnet10_s0,ModelNet10,0
134,matched_edge_topology_shuffle,0.16665632273431077,modelnet10_s0,ModelNet10,0
135,matched_edge_topology_shuffle,0.15480464651427575,modelnet10_s0,ModelNet10,0
136,matched_edge_topology_shuffle,0.1673431962145417,modelnet10_s0,ModelNet10,0
137,matched_edge_topology_shuffle,0.1641543473060595,modelnet10_s0,ModelNet10,0
138,matched_edge_topology_shuffle,0.1602100115425082,modelnet10_s0,ModelNet10,0
139,matched_edge_topology_shuffle,0.17266225838484942,modelnet10_s0,ModelNet10,0
140,matched_edge_topology_shuffle,0.16456169118886513,modelnet10_s0,ModelNet10,0
141,matched_edge_topology_shuffle,0.14777740060032624,modelnet10_s0,ModelNet10,0
142,matched_edge_topology_shuffle,0.16210558254984564,modelnet10_s0,ModelNet10,0
143,matched_edge_topology_shuffle,0.18599091659165146,modelnet10_s0,ModelNet10,0
144,matched_edge_topology_shuffle,0.17763971720407304,modelnet10_s0,ModelNet10,0
145,matched_edge_topology_shuffle,0.15159518273579076,modelnet10_s0,ModelNet10,0
146,matched_edge_topology_shuffle,0.13515544060519263,modelnet10_s0,ModelNet10,0
147,matched_edge_topology_shuffle,0.16098509979288253,modelnet10_s0,ModelNet10,0
148,matched_edge_topology_shuffle,0.20025080815642948,modelnet10_s0,ModelNet10,0
149,matched_edge_topology_shuffle,0.16197259807028141,modelnet10_s0,ModelNet10,0
150,matched_edge_topology_shuffle,0.1671809301255461,modelnet10_s0,ModelNet10,0
151,matched_edge_topology_shuffle,0.15129500426447468,modelnet10_s0,ModelNet10,0
152,matched_edge_topology_shuffle,0.15357750853742666,modelnet10_s0,ModelNet10,0
153,matched_edge_topology_shuffle,0.17434346203531711,modelnet10_s0,ModelNet10,0
154,matched_edge_topology_shuffle,0.15449237806894678,modelnet10_s0,ModelNet10,0
155,matched_edge_topology_shuffle,0.15365141933392767,modelnet10_s0,ModelNet10,0
156,matched_edge_topology_shuffle,0.18481468408141521,modelnet10_s0,ModelNet10,0
157,matched_edge_topology_shuffle,0.15390405007065416,modelnet10_s0,ModelNet10,0
158,matched_edge_topology_shuffle,0.16143231321841817,modelnet10_s0,ModelNet10,0
159,matched_edge_topology_shuffle,0.16098509979288253,modelnet10_s0,ModelNet10,0
160,matched_edge_topology_shuffle,0.1342789690474509,modelnet10_s0,ModelNet10,0
161,matched_edge_topology_shuffle,0.16419814527547005,modelnet10_s0,ModelNet10,0
162,matched_edge_topology_shuffle,0.16300641915275121,modelnet10_s0,ModelNet10,0
163,matched_edge_topology_shuffle,0.16450581771077818,modelnet10_s0,ModelNet10,0
164,matched_edge_topology_shuffle,0.16204520878606046,modelnet10_s0,ModelNet10,0
165,matched_edge_topology_shuffle,0.1619237839793116,modelnet10_s0,ModelNet10,0
166,matched_edge_topology_shuffle,0.167693623733747,modelnet10_s0,ModelNet10,0
167,matched_edge_topology_shuffle,0.18135619942473005,modelnet10_s0,ModelNet10,0
168,matched_edge_topology_shuffle,0.1906491288630889,modelnet10_s0,ModelNet10,0
169,matched_edge_topology_shuffle,0.16118389006724418,modelnet10_s0,ModelNet10,0
170,matched_edge_topology_shuffle,0.15441139840612178,modelnet10_s0,ModelNet10,0
171,matched_edge_topology_shuffle,0.1858721560320532,modelnet10_s0,ModelNet10,0
172,matched_edge_topology_shuffle,0.20276584172538026,modelnet10_s0,ModelNet10,0
173,matched_edge_topology_shuffle,0.16548237023289875,modelnet10_s0,ModelNet10,0
174,matched_edge_topology_shuffle,0.16106530548018302,modelnet10_s0,ModelNet10,0
175,matched_edge_topology_shuffle,0.1479853060291167,modelnet10_s0,ModelNet10,0
176,matched_edge_topology_shuffle,0.15978818518767973,modelnet10_s0,ModelNet10,0
177,matched_edge_topology_shuffle,0.15390405007065416,modelnet10_s0,ModelNet10,0
178,matched_edge_topology_shuffle,0.15132552372448277,modelnet10_s0,ModelNet10,0
179,matched_edge_topology_shuffle,0.1593902149659287,modelnet10_s0,ModelNet10,0
180,matched_edge_topology_shuffle,0.15720045167420482,modelnet10_s0,ModelNet10,0
181,matched_edge_topology_shuffle,0.16410578326912983,modelnet10_s0,ModelNet10,0
182,matched_edge_topology_shuffle,0.15516114005236684,modelnet10_s0,ModelNet10,0
183,matched_edge_topology_shuffle,0.16014149743638664,modelnet10_s0,ModelNet10,0
184,matched_edge_topology_shuffle,0.16423376130787004,modelnet10_s0,ModelNet10,0
185,matched_edge_topology_shuffle,0.16967672820732305,modelnet10_s0,ModelNet10,0
186,matched_edge_topology_shuffle,0.1817983239347602,modelnet10_s0,ModelNet10,0
187,matched_edge_topology_shuffle,0.15125100786630644,modelnet10_s0,ModelNet10,0
188,matched_edge_topology_shuffle,0.13523302375777732,modelnet10_s0,ModelNet10,0
189,matched_edge_topology_shuffle,0.15659898104131903,modelnet10_s0,ModelNet10,0
190,matched_edge_topology_shuffle,0.16022250562347687,modelnet10_s0,ModelNet10,0
191,matched_edge_topology_shuffle,0.18051469041677798,modelnet10_s0,ModelNet10,0
192,matched_edge_topology_shuffle,0.14826477371996452,modelnet10_s0,ModelNet10,0
193,matched_edge_topology_shuffle,0.1818203655152629,modelnet10_s0,ModelNet10,0
194,matched_edge_topology_shuffle,0.15424367755441987,modelnet10_s0,ModelNet10,0
195,matched_edge_topology_shuffle,0.1494170948742118,modelnet10_s0,ModelNet10,0
196,matched_edge_topology_shuffle,0.110556434525673,modelnet10_s0,ModelNet10,0
197,matched_edge_topology_shuffle,0.16824285279219492,modelnet10_s0,ModelNet10,0
198,matched_edge_topology_shuffle,0.16523283327974367,modelnet10_s0,ModelNet10,0
199,matched_edge_topology_shuffle,0.17927382091752778,modelnet10_s0,ModelNet10,0
0,matched_edge_topology_shuffle,0.15078333919509704,modelnet10_s1,ModelNet10,1
1,matched_edge_topology_shuffle,0.14623587528304896,modelnet10_s1,ModelNet10,1
2,matched_edge_topology_shuffle,0.14456288521707494,modelnet10_s1,ModelNet10,1
3,matched_edge_topology_shuffle,0.15034397297951782,modelnet10_s1,ModelNet10,1
4,matched_edge_topology_shuffle,0.14905479253441437,modelnet10_s1,ModelNet10,1
5,matched_edge_topology_shuffle,0.1527095893171152,modelnet10_s1,ModelNet10,1
6,matched_edge_topology_shuffle,0.1456050226199559,modelnet10_s1,ModelNet10,1
7,matched_edge_topology_shuffle,0.14406833624442011,modelnet10_s1,ModelNet10,1
8,matched_edge_topology_shuffle,0.14686011333832552,modelnet10_s1,ModelNet10,1
9,matched_edge_topology_shuffle,0.11492442013224298,modelnet10_s1,ModelNet10,1
10,matched_edge_topology_shuffle,0.14945006370590502,modelnet10_s1,ModelNet10,1
11,matched_edge_topology_shuffle,0.1476012032557075,modelnet10_s1,ModelNet10,1
12,matched_edge_topology_shuffle,0.14800969491123667,modelnet10_s1,ModelNet10,1
13,matched_edge_topology_shuffle,0.14798093306859217,modelnet10_s1,ModelNet10,1
14,matched_edge_topology_shuffle,0.15185908450672608,modelnet10_s1,ModelNet10,1
15,matched_edge_topology_shuffle,0.14832940544881765,modelnet10_s1,ModelNet10,1
16,matched_edge_topology_shuffle,0.14897693202875123,modelnet10_s1,ModelNet10,1
17,matched_edge_topology_shuffle,0.1489769320287513,modelnet10_s1,ModelNet10,1
