group,coefficient_group,candidate_rank,projective_multiplication_residual,scalar_commutator_residual
C2,mu_2,1,0.0,0.0
C2,mu_2,2,0.0,0.0
C2,mu_3,1,1.2412670766236366e-16,0.0
C2,mu_3,2,1.2412670766236366e-16,0.0
C2,mu_4,1,1.181480490817672e-16,0.0
C2,mu_4,2,1.181480490817672e-16,0.0
C3,mu_2,1,3.3306690738754696e-16,0.0
C3,mu_2,2,3.3306690738754696e-16,0.0
C3,mu_3,1,2.2887833992611187e-16,0.0
C3,mu_3,2,2.2887833992611187e-16,0.0
C3,mu_4,1,1.5700924586837752e-16,0.0
C3,mu_4,2,1.5700924586837752e-16,0.0
C4,mu_2,1,2.362960981635344e-16,0.0
C4,mu_2,2,2.362960981635344e-16,0.0
C4,mu_3,1,1.2412670766236366e-16,0.0
C4,mu_3,2,1.2412670766236366e-16,0.0
C4,mu_4,1,2.609058017116416e-16,0.0
C4,mu_4,2,2.609058017116416e-16,0.0
S3,mu_2,1,0.0,0.0
S3,mu_2,2,0.0,0.0
S3,mu_3,1,0.0,0.0
S3,mu_3,2,0.0,0.0
S3,mu_4,1,0.0,0.0
S3,mu_4,2,0.0,0.0
D4,mu_2,1,0.0,0.0
D4,mu_2,2,0.0,0.0
D4,mu_3,1,0.0,0.0
D4,mu_3,2,0.0,0.0
D4,mu_4,1,0.0,0.0
D4,mu_4,2,0.0,0.0
Q8,mu_2,1,0.0,0.0
Q8,mu_2,2,0.0,0.0
Q8,mu_3,1,0.0,0.0
Q8,mu_3,2,0.0,0.0
Q8,mu_4,1,0.0,0.0
Q8,mu_4,2,0.0,0.0
finite_Heisenberg_2,mu_2,1,1.0,1.0
finite_Heisenberg_2,mu_2,2,2.4492935982947064e-16,2.4492935982947064e-16
finite_Heisenberg_2,mu_2,4,2.4492935982947064e-16,2.4492935982947064e-16
finite_Heisenberg_3,mu_3,1,1.0,1.0
finite_Heisenberg_3,mu_3,2,1.0,1.0
finite_Heisenberg_3,mu_3,3,5.3533015581491455e-16,5.3533015581491455e-16
finite_Heisenberg_3,mu_3,6,5.3533015581491455e-16,5.3533015581491455e-16
finite_Heisenberg_4,mu_4,1,1.0,1.0
finite_Heisenberg_4,mu_4,3,1.0,1.0
finite_Heisenberg_4,mu_4,4,2.4492935982947064e-16,2.4492935982947064e-16
finite_Heisenberg_4,mu_4,8,2.4492935982947064e-16,2.4492935982947064e-16
