seed,example,chart,method,boundary_dice,hausdorff95,assd
0,cju0ue769mxii08019zqgdbxn.png,4,one_canonical_on_transformed_input,0.0,93.34527452645696,55.25806047262957
0,cju13cgqmnhwn0988yrainhcp.png,4,one_canonical_on_transformed_input,0.0,81.50055028876181,46.06880223140988
0,cju16ach3m1da0993r1dq3sn2.png,1,one_canonical_on_transformed_input,0.0,55.09762366317681,33.51939573397362
0,cju171py4qiha0835u8sl59ds.png,3,one_canonical_on_transformed_input,0.23425692695214106,72.54636950777115,27.159128066746508
0,cju17g6ykn1cs0993dww6qdi8.png,0,one_canonical_on_transformed_input,0.05590851334180432,52.32590180780452,29.19303176226556
0,cju183od81ff608017ekzif89.png,3,one_canonical_on_transformed_input,0.04032258064516129,83.1948980663433,36.274772045008575
0,cju1c0qb4tzi308355wtsnp0y.png,6,one_canonical_on_transformed_input,0.0,53.5647572149767,27.648572771263524
0,cju1cyjb5qtie0993njqne9m3.png,3,one_canonical_on_transformed_input,0.21428571428571427,46.760451118536,20.008006816195326
0,cju1d50a94qf50855wsowacrc.png,0,one_canonical_on_transformed_input,0.04612850082372323,115.43006525397247,57.14744196445251
0,cju1fb9236a110801yvg0fwju.png,0,one_canonical_on_transformed_input,0.054187192118226604,53.24283661483117,28.110856773764926
0,cju1ftaji6isw0855108yqcse.png,6,one_canonical_on_transformed_input,0.0,79.82605615238494,43.34397820935001
0,cju1gv7106qd008784gk603mg.png,0,one_canonical_on_transformed_input,0.0,99.05397384216138,42.914889602705884
0,cju1hirfi7ekp0855q0vgm9qq.png,1,one_canonical_on_transformed_input,0.0,74.71268649983972,56.14985503647638
0,cju2i6acqvo6l0799u20fift8.png,6,one_canonical_on_transformed_input,0.0,64.35060217278468,43.53179414567997
0,cju2nguelpmlj0835rojdn097.png,4,one_canonical_on_transformed_input,0.017595307917888565,77.9201211939801,41.907303023376194
0,cju2omjpeqj5a0988pjdlb8l1.png,6,one_canonical_on_transformed_input,0.0,64.72244026174339,33.199036254820086
0,cju0ue769mxii08019zqgdbxn.png,4,one_canonical_supplied_inverse_and_retransport,0.0,93.34527452645696,55.25806047262957
0,cju13cgqmnhwn0988yrainhcp.png,4,one_canonical_supplied_inverse_and_retransport,0.0,81.50055028876181,46.06880223140988
0,cju16ach3m1da0993r1dq3sn2.png,1,one_canonical_supplied_inverse_and_retransport,0.0,55.09762366317681,33.51939573397362
