seed,method,pixel_l1,pixel_l2,dice_consistency,boundary_consistency
0,one_canonical,1.8592680135043338e-05,0.00025385833578184247,1.0,1.0
0,direct_d4_equivariant_unet,1.0997890098618512e-10,2.5143056525678276e-09,1.0,1.0
0,weight_average,6.808919715695083e-05,0.0002165270852856338,1.0,1.0
1,one_canonical,1.2634284303203458e-06,1.4141672181722242e-05,1.0,1.0
1,direct_d4_equivariant_unet,3.204219875541092e-11,1.2438139407322524e-09,1.0,1.0
1,weight_average,4.944663032802055e-06,1.2461194273782894e-05,1.0,1.0
2,one_canonical,0.0,0.0,1.0,1.0
2,direct_d4_equivariant_unet,1.2910627011919473e-09,7.763857112763617e-09,1.0,1.0
2,weight_average,2.147764098481275e-05,5.8638397604227066e-05,1.0,1.0
3,one_canonical,0.0029293836560100317,0.004911566153168678,1.0,1.0
3,direct_d4_equivariant_unet,5.305852424086765e-10,5.623641552432446e-09,1.0,1.0
3,weight_average,3.761776315513998e-05,6.69571163598448e-05,1.0,1.0
4,one_canonical,0.0010592209873721004,0.001999980304390192,1.0,1.0
4,direct_d4_equivariant_unet,5.596890680949207e-13,1.826473833288489e-10,1.0,1.0
4,weight_average,4.309355063014664e-05,0.0002217358269263059,1.0,1.0
