seed,condition,chart,method,dice,examples
10,seen,0,ordinary_chart_cnn_canonicalization,0.004494188580468308,6
10,seen,0,d4_equivariant_chart_cnn_canonicalization,0.0022066287152632974,6
10,seen,0,direct_d4_equivariant_unet,0.35466053268837233,6
10,seen,0,learned_multiplication_table_chart_model,0.0022066287152758906,6
10,seen,0,hard_retransport,0.0022066287152632974,6
10,seen,0,soft_retransport,0.002956865072422644,6
10,seen,0,d4_test_time_augmentation,0.002642374410225657,6
10,seen,0,supplied_chart_oracle,0.004494188580462847,6
10,seen,0,random_chart_control,0.0031380164830331144,6
10,seen,0,wrong_output_action_control,0.0036090297427133163,6
10,seen,1,ordinary_chart_cnn_canonicalization,0.003798316047348923,5
10,seen,1,d4_equivariant_chart_cnn_canonicalization,0.0026577660378492465,5
10,seen,1,direct_d4_equivariant_unet,0.3742342239971892,5
10,seen,1,learned_multiplication_table_chart_model,0.0026577660378492465,5
10,seen,1,hard_retransport,0.0026577660378492465,5
10,seen,1,soft_retransport,0.0027070040395278045,5
10,seen,1,d4_test_time_augmentation,0.0023177211509686885,5
10,seen,1,supplied_chart_oracle,0.0026577660378492465,5
10,seen,1,random_chart_control,0.0025339787882634303,5
10,seen,1,wrong_output_action_control,0.002513786553444847,5
10,seen,4,ordinary_chart_cnn_canonicalization,0.0026244693195507747,5
10,seen,4,d4_equivariant_chart_cnn_canonicalization,0.00046747175961372073,5
10,seen,4,direct_d4_equivariant_unet,0.2688229677741971,5
10,seen,4,learned_multiplication_table_chart_model,0.00046747175961372073,5
10,seen,4,hard_retransport,0.00046747175961372073,5
10,seen,4,soft_retransport,0.001255394274961481,5
10,seen,4,d4_test_time_augmentation,0.001553398060934642,5
10,seen,4,supplied_chart_oracle,0.002624469319552155,5
10,seen,4,random_chart_control,0.0023192887541396796,5
10,seen,4,wrong_output_action_control,0.003246753249521878,5
10,unseen,2,ordinary_chart_cnn_canonicalization,2.9431432086987e-12,4
