output_type,chart,check,error,passed
gaussian_heatmap,0,coordinate_transform,0.0,True
ordered_keypoints,0,inverse_law,0.0,True
unoriented_point_set,0,inverse_law,0.0,True
displacement_field,0,coordinate_and_component_inverse,0.0,True
displacement_field,0,negative_coordinates_only,0.0,True
orientation_field,0,coordinate_and_component_inverse,0.0,True
orientation_field,0,negative_coordinates_only,0.0,True
gaussian_heatmap,1,coordinate_transform,0.0,True
ordered_keypoints,1,inverse_law,0.0,True
unoriented_point_set,1,inverse_law,0.0,True
displacement_field,1,coordinate_and_component_inverse,0.0,True
displacement_field,1,negative_coordinates_only,2.0999999046325684,True
orientation_field,1,coordinate_and_component_inverse,0.0,True
orientation_field,1,negative_coordinates_only,2.0,True
gaussian_heatmap,2,coordinate_transform,0.0,True
ordered_keypoints,2,inverse_law,0.0,True
unoriented_point_set,2,inverse_law,0.0,True
displacement_field,2,coordinate_and_component_inverse,0.0,True
displacement_field,2,negative_coordinates_only,2.5999999046325684,True
orientation_field,2,coordinate_and_component_inverse,0.0,True
orientation_field,2,negative_coordinates_only,2.0,True
gaussian_heatmap,3,coordinate_transform,0.0,True
ordered_keypoints,3,inverse_law,0.0,True
unoriented_point_set,3,inverse_law,0.0,True
displacement_field,3,coordinate_and_component_inverse,0.0,True
displacement_field,3,negative_coordinates_only,2.0999999046325684,True
orientation_field,3,coordinate_and_component_inverse,0.0,True
orientation_field,3,negative_coordinates_only,2.0,True
gaussian_heatmap,4,coordinate_transform,0.0,True
ordered_keypoints,4,inverse_law,0.0,True
unoriented_point_set,4,inverse_law,0.0,True
displacement_field,4,coordinate_and_component_inverse,0.0,True
displacement_field,4,negative_coordinates_only,2.5999999046325684,True
orientation_field,4,coordinate_and_component_inverse,0.0,True
orientation_field,4,negative_coordinates_only,2.0,True
gaussian_heatmap,5,coordinate_transform,0.0,True
ordered_keypoints,5,inverse_law,0.0,True
unoriented_point_set,5,inverse_law,0.0,True
displacement_field,5,coordinate_and_component_inverse,0.0,True
displacement_field,5,negative_coordinates_only,1.9000000953674316,True
orientation_field,5,coordinate_and_component_inverse,0.0,True
orientation_field,5,negative_coordinates_only,2.0,True
gaussian_heatmap,6,coordinate_transform,0.0,True
ordered_keypoints,6,inverse_law,0.0,True
unoriented_point_set,6,inverse_law,0.0,True
displacement_field,6,coordinate_and_component_inverse,0.0,True
displacement_field,6,negative_coordinates_only,2.4000000953674316,True
orientation_field,6,coordinate_and_component_inverse,0.0,True
orientation_field,6,negative_coordinates_only,2.0,True
gaussian_heatmap,7,coordinate_transform,0.0,True
ordered_keypoints,7,inverse_law,0.0,True
unoriented_point_set,7,inverse_law,0.0,True
displacement_field,7,coordinate_and_component_inverse,0.0,True
displacement_field,7,negative_coordinates_only,2.0999999046325684,True
orientation_field,7,coordinate_and_component_inverse,0.0,True
orientation_field,7,negative_coordinates_only,2.0,True
vector_field,0*0,composition_law,0.0,True
vector_field,0*1,composition_law,0.0,True
vector_field,0*2,composition_law,0.0,True
vector_field,0*3,composition_law,0.0,True
vector_field,0*4,composition_law,0.0,True
vector_field,0*5,composition_law,0.0,True
vector_field,0*6,composition_law,0.0,True
vector_field,0*7,composition_law,0.0,True
vector_field,1*0,composition_law,0.0,True
vector_field,1*1,composition_law,0.0,True
vector_field,1*2,composition_law,0.0,True
vector_field,1*3,composition_law,0.0,True
vector_field,1*4,composition_law,0.0,True
vector_field,1*5,composition_law,0.0,True
vector_field,1*6,composition_law,0.0,True
vector_field,1*7,composition_law,0.0,True
vector_field,2*0,composition_law,0.0,True
vector_field,2*1,composition_law,0.0,True
vector_field,2*2,composition_law,0.0,True
vector_field,2*3,composition_law,0.0,True
vector_field,2*4,composition_law,0.0,True
vector_field,2*5,composition_law,0.0,True
vector_field,2*6,composition_law,0.0,True
vector_field,2*7,composition_law,0.0,True
vector_field,3*0,composition_law,0.0,True
vector_field,3*1,composition_law,0.0,True
vector_field,3*2,composition_law,0.0,True
vector_field,3*3,composition_law,0.0,True
vector_field,3*4,composition_law,0.0,True
vector_field,3*5,composition_law,0.0,True
vector_field,3*6,composition_law,0.0,True
vector_field,3*7,composition_law,0.0,True
vector_field,4*0,composition_law,0.0,True
vector_field,4*1,composition_law,0.0,True
vector_field,4*2,composition_law,0.0,True
vector_field,4*3,composition_law,0.0,True
vector_field,4*4,composition_law,0.0,True
vector_field,4*5,composition_law,0.0,True
vector_field,4*6,composition_law,0.0,True
vector_field,4*7,composition_law,0.0,True
vector_field,5*0,composition_law,0.0,True
vector_field,5*1,composition_law,0.0,True
vector_field,5*2,composition_law,0.0,True
vector_field,5*3,composition_law,0.0,True
vector_field,5*4,composition_law,0.0,True
vector_field,5*5,composition_law,0.0,True
vector_field,5*6,composition_law,0.0,True
vector_field,5*7,composition_law,0.0,True
vector_field,6*0,composition_law,0.0,True
vector_field,6*1,composition_law,0.0,True
vector_field,6*2,composition_law,0.0,True
vector_field,6*3,composition_law,0.0,True
vector_field,6*4,composition_law,0.0,True
vector_field,6*5,composition_law,0.0,True
vector_field,6*6,composition_law,0.0,True
vector_field,6*7,composition_law,0.0,True
vector_field,7*0,composition_law,0.0,True
vector_field,7*1,composition_law,0.0,True
vector_field,7*2,composition_law,0.0,True
vector_field,7*3,composition_law,0.0,True
vector_field,7*4,composition_law,0.0,True
vector_field,7*5,composition_law,0.0,True
vector_field,7*6,composition_law,0.0,True
vector_field,7*7,composition_law,0.0,True
vector_field,4,negative_wrong_reflection_sign_detected,1.0,True
ordered_keypoints,1,negative_wrong_landmark_permutation_detected,1.0,True
vector_field,4*1,negative_reversed_multiplication_order_detected,1.0,True
